#Pathway_id	Type	Name	ECs	total_family	total_family_found	Count	Count_pct
KDO-LIPASYN-PWY	"Lipid-Biosynthesis;"	"(Kdo)<sub>2</sub>-lipid A biosynthesis I;"	2.3.1.-	1	1	13	0.07
METHGLYUT-PWY	"Aldehyde-Degradation; Super-Pathways;"	"superpathway of methylglyoxal degradation;"	1.1.2.4+1.2.1.22+3.1.2.6+4.4.1.5	5	4	13	0.07
PWY-5399	"BETALAIN-ALKALOIDS;"	"betacyanin biosynthesis;"	2.4.1.-	2	1	12	0.07
PWY-5439	"BETALAIN-ALKALOIDS;"	"betacyanin biosynthesis (via dopamine);"	1.10.3.-	1	1	12	0.07
P461-PWY	"Acetate-Formation; Fermentation-to-Lactate; Pyruvate-Ethanol-Fermentation; SUGAR-ALCOHOLS-DEG; Super-Pathways;"	"hexitol fermentation to lactate, formate, ethanol and acetate;"	1.1.1.1+1.1.1.140+1.1.1.17+1.1.1.27+1.2.1.10+1.2.1.12+2.3.1.54+2.3.1.8+2.7.1.11+2.7.1.40+2.7.2.1+2.7.2.3+2.7.9.2+3.1.3.11+4.1.2.13+4.2.1.11+5.3.1.1	18	17	48	0.26
PWY66-373	"SUCROSE-DEG;"	"sucrose degradation V (sucrose &alpha;-glucosidase);"	2.7.1.28+4.1.2.13+5.1.3.3+5.3.1.1	6	4	8	0.04
PWY-5340	"Activation; Sulfur-Metabolism;"	"sulfate activation for sulfonation;"	2.7.7.4	2	1	1	0.01
CO2FORM-PWY	"C1-COMPOUNDS; METHANOGENESIS;"	"methanogenesis from methanol;"	2.1.1.-	2	1	26	0.14
PEPTIDOGLYCANSYN-PWY	"Peptidoglycan-Biosynthesis; Super-Pathways;"	"peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing);"	2.4.1.129+2.4.1.227+2.5.1.7+2.7.8.13+3.4.16.4+5.1.1.3+6.3.2.10+6.3.2.13+6.3.2.4+6.3.2.8+6.3.2.9	12	11	62	0.34
PWY-6157	"Autoinducer-Biosynthesis;"	"autoinducer AI-1 biosynthesis;"	2.3.1.184	1	1	2	0.01
PWY-6424	""	""	2.1.1.-	1	1	26	0.14
PWY-6357	""	""	3.1.3.2	1	1	1	0.01
GLUTDEG-PWY	"ASPARTATE-SYN; GLUTAMATE-DEG;"	"L-glutamate degradation II;"	2.6.1.1	2	1	11	0.06
DARABITOLUTIL-PWY	"SUGAR-ALCOHOLS-DEG;"	"D-arabitol degradation;"	1.1.1.11+2.7.1.17	2	2	3	0.02
PWY-6038	"CARBOXYLATES-DEG;"	"citrate degradation;"	6.2.1.22	5	1	2	0.01
ANAGLYCOLYSIS-PWY	"GLYCOLYSIS-VARIANTS;"	"glycolysis III (from glucose);"	1.2.1.12+2.7.1.11+2.7.1.2+2.7.1.40+2.7.2.3+4.1.2.13+4.2.1.11+5.3.1.1+5.3.1.9	10	9	35	0.19
PWY-1921	"Activation;"	"indole-3-acetate activation II;"	3.1.-.-	1	1	73	0.40
PWY-3001	"ISOLEUCINE-SYN; Super-Pathways;"	"superpathway of L-isoleucine biosynthesis I;"	1.1.1.3+1.1.1.86+1.2.1.11+2.2.1.6+2.6.1.1+2.6.1.42+2.7.1.39+2.7.2.4+4.2.1.9+4.2.3.1+4.3.1.19	11	11	55	0.30
PWY0-1061	"ALANINE-SYN; Super-Pathways;"	"superpathway of L-alanine biosynthesis;"	2.6.1.2+2.6.1.42+2.8.1.7+5.1.1.1	5	4	14	0.08
LYSDEGII-PWY	"LYSINE-DEG;"	"L-lysine degradation III;"	1.1.1.-+2.6.1.-+3.5.1.-	6	3	23	0.13
HOMOSERSYN-PWY	"Other-Amino-Acid-Biosynthesis;"	"L-homoserine biosynthesis;"	1.1.1.3+1.2.1.11+2.7.2.4	3	3	8	0.04
PWY-5132	"TERPENOPHENOLICS-SYN;"	"lupulone and humulone biosynthesis;"	2.5.1.-	2	1	6	0.03
PWY-1822	"Activation;"	"indole-3-acetate activation I;"	3.5.1.-	1	1	8	0.04
PWY-6333	"Acetaldehyde-Biosynthesis;"	"acetaldehyde biosynthesis I;"	1.1.1.1	2	1	9	0.05
PWY-101	"Electron-Transfer; Photosynthesis;"	"photosynthesis light reactions;"	1.18.1.2	1	1	1	0.01
PWY-6188	""	""	3.6.3.-	1	1	44	0.24
PWY-5135	"PRENYLFLAVONOID-SYN;"	"xanthohumol biosynthesis;"	2.1.1.-+2.5.1.-	4	2	32	0.18
PWY-5729	"ISOFLAVONOID-SYN;"	"vestitol and sativan biosynthesis;"	1.3.1.-+2.1.1.-	2	2	40	0.22
PWY-3282	"Ammonia-Assimilation; Super-Pathways;"	"superpathway of ammonia assimilation (plants);"	1.4.7.1+6.3.1.2	3	2	4	0.02
PWY-6164	"3-Dehydroquinate-Biosynthesis;"	"3-dehydroquinate biosynthesis I;"	2.5.1.54+4.2.3.4	2	2	4	0.02
PWY-5784	"Indole-3-Acetate-Inactivation;"	"indole-3-acetate inactivation VIII;"	2.4.1.-+3.5.1.-	3	2	20	0.11
KDOSYN-PWY	"KDO-Lipid-IV-Transfer;"	"Kdo transfer to lipid IV<sub>A</sub> I;"	2.4.99.12	2	1	1	0.01
OANTIGEN-PWY	"Metabolic-Clusters; SUGAR-NUCLEOTIDES; Super-Pathways;"	"<i>O</i>-antigen building blocks biosynthesis (<i>E. coli</i>);"	1.1.1.133+2.3.1.157+2.6.1.16+2.7.7.23+4.2.1.46+5.1.3.13+5.4.2.10+5.4.99.9	9	8	17	0.09
PWY-5344	"Other-Amino-Acid-Biosynthesis;"	"L-homocysteine biosynthesis;"	2.3.1.31	2	1	1	0.01
PWY-2582	"Brassinosteroid-Biosynthesis;"	"brassinosteroid biosynthesis II;"	1.14.-.-+1.14.13.-+1.3.99.-	6	3	10	0.05
PWY-6497	"D-Galactarate-Degradation;"	"D-galactarate degradation II;"	1.2.1.26+4.2.1.42	3	2	5	0.03
PWY3O-4108	"TYROSINE-DEG;"	"L-tyrosine degradation III;"	1.1.1.1+2.6.1.57	4	2	10	0.05
M-CRESOL-DEGRADATION-PWY	"AROMATIC-COMPOUNDS-DEGRADATION;"	"<I>m</I>-cresol degradation;"	1.14.13.-+1.14.13.24	5	2	6	0.03
PWY-6317	"GALACTOSE-DEGRADATION;"	"D-galactose degradation I (Leloir pathway);"	2.7.1.6+5.1.3.2+5.1.3.3	5	3	6	0.03
PWY-2901	"CYTOKININ-BIOSYNTHESIS; Metabolic-Clusters;"	"cytokinins 9-<i>N</i>-glucoside biosynthesis;"	2.4.1.-	1	1	12	0.07
PWY-6196	"D-Amino-Acid-Degradation; Other-Amino-Acid-Biosynthesis; Super-Pathways;"	"D-serine metabolism;"	4.3.1.18	2	1	1	0.01
PWY-6453	"Lipid-Biosynthesis;"	"stigma estolide biosynthesis;"	3.1.2.-	1	1	3	0.02
PWY-6455	"Cell-Wall-Biosynthesis; Vancomycin-Resistnace;"	"vancomycin resistance II;"	6.3.2.-	3	1	1	0.01
MALATE-ASPARTATE-SHUTTLE-PWY	"ASPARTATE-DEG;"	"L-aspartate degradation II;"	2.6.1.1	2	1	11	0.06
PWY-5926	"ISOFLAVONOID-SYN; Interconversion;"	"afrormosin conjugates interconversion;"	2.4.1.-	1	1	12	0.07
PCEDEG-PWY	"CHLORINATED-COMPOUNDS-DEG;"	"tetrachloroethene degradation;"	1.97.1.-	2	1	2	0.01
ALADEG-PWY	"ALANINE-DEG;"	"L-alanine degradation I;"	5.1.1.1	2	1	3	0.02
PWY-5345	"Methionine-De-novo-Biosynthesis; Super-Pathways;"	"superpathway of L-methionine biosynthesis (by sulfhydrylation);"	1.1.1.3+1.2.1.11+2.1.1.13+2.1.1.14+2.3.1.31+2.6.1.1+2.7.2.4+2.7.7.4	12	8	32	0.18
SERDEG-PWY	"SERINE-DEG;"	"L-serine degradation;"	4.3.1.17	1	1	6	0.03
PWY-5891	"Menaquinone-Biosynthesis;"	"menaquinol-11 biosynthesis;"	2.1.1.163+2.5.1.74	2	2	5	0.03
GLUCARDEG-PWY	"D-Glucarate-Degradation;"	"<i>D</i>-glucarate degradation I;"	1.1.1.60+4.1.2.20+4.2.1.40	4	3	4	0.02
PWY-6456	"Polyamine-Biosynthesis;"	"serinol biosynthesis;"	2.6.1.-+3.1.3.-	2	2	8	0.04
PWY-841	"Purine-Nucleotide-De-Novo-Biosynthesis; Super-Pathways;"	"superpathway of purine nucleotides <i>de novo</i> biosynthesis I;"	1.1.1.205+2.1.2.2+2.1.2.3+2.4.2.14+3.5.4.10+4.1.1.21+4.3.2.2+6.3.2.6+6.3.3.1+6.3.4.13+6.3.4.4+6.3.5.2+6.3.5.3	13	13	51	0.28
PWY-2781	"CYTOKININ-BIOSYNTHESIS;"	"<i>cis</i>-zeatin biosynthesis;"	2.5.1.75	1	1	2	0.01
PWY-6527	"Sugars-And-Polysaccharides-Degradation;"	"stachyose degradation;"	2.7.1.6+2.7.7.9+5.1.3.2	6	3	8	0.04
PWY-6415	"Ascorbate-Biosynthesis; Super-Pathways;"	"L-ascorbate biosynthesis V;"	1.1.1.22	2	1	2	0.01
ILEUSYN-PWY	"ISOLEUCINE-SYN;"	"L-isoleucine biosynthesis I (from threonine);"	1.1.1.86+2.2.1.6+2.6.1.42+4.2.1.9+4.3.1.19	5	5	29	0.16
PWY-3121	"CYANOGENIC-GLUCOSIDE-DEG;"	"linamarin degradation;"	3.2.1.21	2	1	8	0.04
P161-PWY	"Acetate-Formation; Pyruvate-Ethanol-Fermentation;"	"acetylene degradation (anaerobic);"	1.1.1.1+1.2.1.10+2.3.1.8+2.7.2.1	5	4	14	0.08
COMPLETE-ARO-PWY	"Amino-Acid-Biosynthesis; Super-Pathways;"	"superpathway of aromatic amino acid biosynthesis;"	1.1.1.25+2.4.2.18+2.5.1.19+2.5.1.54+2.6.1.57+2.7.1.71+4.1.1.48+4.1.3.27+4.2.1.10+4.2.1.20+4.2.1.51+4.2.3.4+4.2.3.5+5.3.1.24+5.4.99.5	17	15	44	0.24
PWY0-661	""	""	5.4.2.7	1	1	3	0.02
NADPHOS-DEPHOS-PWY	"NAD-Metabolism;"	"NAD phosphorylation and dephosphorylation;"	2.7.1.23+3.1.3.-	3	2	9	0.05
PWY-5971	"Palmitate-Biosynthesis;"	"palmitate biosynthesis II (bacteria and plants);"	1.1.1.100+1.3.1.9+2.3.1.41+4.2.1.59	8	4	10	0.05
PWY-5918	"Heme-b-Biosynthesis; Super-Pathways;"	"superpathay of heme <i>b</i> biosynthesis from glutamate;"	1.2.1.70+1.3.3.3+2.5.1.61+4.1.1.37+4.2.1.24+4.99.1.1+5.4.3.8+6.1.1.17	10	8	22	0.12
PWY-5464	"Energy-Metabolism; Super-Pathways;"	"superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle;"	1.1.1.41+1.2.1.12+1.2.4.1+1.3.5.1+1.8.1.4+2.3.1.12+2.3.3.1+2.7.1.11+2.7.1.40+2.7.2.3+4.1.2.13+4.2.1.11+4.2.1.2+4.2.1.3+5.3.1.1+6.2.1.5	20	16	58	0.32
PWY-5404	"BETALAIN-ALKALOIDS;"	"betaxanthin biosynthesis (via dopaxanthin);"	1.10.3.-	2	1	12	0.07
PWY-5899	"Menaquinone-Biosynthesis; Super-Pathways;"	"superpathway of menaquinol-13 biosynthesis;"	2.1.1.163+2.5.1.-+2.5.1.74+3.1.2.-+6.2.1.26	10	5	15	0.08
UDPNACETYLGALSYN-PWY	"UDP-NAc-Glucosamine-Biosynthesis;"	"UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis II;"	2.6.1.16+2.7.7.23	4	2	8	0.04
PWY-5189	"Tetrapyrrole-Biosynthesis;"	"tetrapyrrole biosynthesis II (from glycine);"	2.5.1.61+4.2.1.24	4	2	6	0.03
PWY-5133	"TERPENOPHENOLICS-SYN;"	"colupulone and cohumulone biosynthesis;"	2.5.1.-	2	1	6	0.03
PWY-5669	"PhosphatidylethanolamineBiosynthesis; Phosphatidylserine-Biosynthesis;"	"phosphatidylserine and phosphatidylethanolamine biosynthesis I;"	2.7.8.8+4.1.1.65	2	2	5	0.03
GLYCOLYSIS	"GLYCOLYSIS-VARIANTS;"	"glycolysis I (from glucose 6-phosphate);"	1.2.1.12+2.7.1.11+2.7.1.40+2.7.2.3+2.7.9.2+3.1.3.11+4.1.2.13+4.2.1.11+5.3.1.1+5.3.1.9	11	10	36	0.20
PWY-5347	"Methionine-De-novo-Biosynthesis; Super-Pathways;"	"superpathway of L-methionine biosynthesis (transsulfuration);"	1.1.1.3+1.2.1.11+2.1.1.13+2.1.1.14+2.3.1.46+2.6.1.1+2.7.2.4	9	7	31	0.17
ORNDEG-PWY	"AMINE-DEG; Super-Pathways;"	"superpathway of ornithine degradation;"	1.2.1.-+2.6.1.82+4.1.1.17	6	3	7	0.04
METHIONINE-DEG1-PWY	"METHIONINE-DEG;"	"L-methionine degradation I (to L-homocysteine);"	2.1.1.-+2.5.1.6+3.3.1.1	3	3	32	0.18
LEUSYN-PWY	"LEUCINE-SYN;"	"L-leucine biosynthesis;"	1.1.1.85+2.3.3.13+2.6.1.42+4.2.1.33	4	4	12	0.07
PWYG-321	"Fatty-acid-biosynthesis;"	"mycolate biosynthesis;"	1.-.-.-+1.1.1.100+2.1.1.-+2.1.1.79+2.3.1.-+2.3.1.179+2.3.1.41+3.6.3.-+4.2.1.-+6.4.1.3	14	10	129	0.71
PWY-5506	"Methanol-Oxidation;"	"methanol oxidation to formaldehyde IV;"	1.11.1.6	2	1	3	0.02
PWY-4061	"Detoxification; Other-Degradation;"	"glutathione-mediated detoxification I;"	2.5.1.18+3.4.11.2	5	2	5	0.03
PWY-6387	"Acetylmuramoyl-Pentapeptide-Biosynthesis;"	"UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing);"	2.5.1.7+5.1.1.3+6.3.2.10+6.3.2.13+6.3.2.4+6.3.2.8+6.3.2.9	8	7	26	0.14
GLNSYN-PWY	"Ammonia-Assimilation; GLUTAMINE-SYN;"	"L-glutamine biosynthesis I;"	6.3.1.2	1	1	3	0.02
SUCUTIL-PWY	"SUCROSE-DEG;"	"sucrose degradation I (sucrose phosphotransferase);"	2.7.1.4+3.2.1.26	2	2	5	0.03
PWY-1723	"Formaldehyde-Oxidation;"	"formaldehyde oxidation VI (H<sub>4</sub>MPT pathway);"	1.5.1.-	2	1	1	0.01
URDEGR-PWY	"Allantoin-degradation; Super-Pathways;"	"superpathway of allantoin degradation in plants;"	3.5.1.5+3.5.2.5+3.5.3.9+4.3.2.3	7	4	8	0.04
P142-PWY	"Pyruvate-Acetate-Fermentation; Super-Pathways;"	"pyruvate fermentation to acetate I;"	2.3.1.8+2.7.2.1	3	2	5	0.03
PWY-5485	"Pyruvate-Acetate-Fermentation; Super-Pathways;"	"pyruvate fermentation to acetate IV;"	2.3.1.54+2.3.1.8+2.7.2.1	3	3	6	0.03
ARG+POLYAMINE-SYN	"Polyamine-Biosynthesis; Super-Pathways;"	"superpathway of arginine and polyamine biosynthesis;"	1.2.1.38+2.1.3.3+2.3.1.1+2.6.1.11+2.7.2.8+3.5.1.16+4.1.1.17+4.3.2.1+6.3.4.5+6.3.5.5	15	10	35	0.19
PWY-4502	"ISOFLAVONOID-PHYTOALEXINS; ISOFLAVONOID-SYN;"	"wighteone and luteone biosynthesis;"	2.5.1.-	2	1	6	0.03
THISYNARA-PWY	"Super-Pathways; Thiamine-Biosynthesis;"	"superpathway of thiamine diphosphate biosynthesis III (eukaryotes);"	2.5.1.3+2.7.1.49+2.7.6.2+3.1.3.2	5	4	7	0.04
PHOTOALL-PWY	"Photosynthesis; Super-Pathways;"	"oxygenic photosynthesis;"	1.18.1.2+2.7.2.3+3.1.3.11+4.1.2.-+4.1.2.13+5.1.3.1+5.3.1.1+5.3.1.6	13	8	15	0.08
PWY-6124	"IMP-Biosynthesis;"	"inosine-5'-phosphate biosynthesis II;"	2.1.2.3+3.5.4.10+4.1.1.21+4.3.2.2+6.3.2.6	5	5	12	0.07
PWY0-1296	"Purine-Degradation;"	"purine ribonucleosides degradation;"	2.4.2.1+5.4.2.7	3	2	5	0.03
ARO-PWY	"Chorismate-Biosynthesis; Super-Pathways;"	"chorismate biosynthesis I;"	1.1.1.25+2.5.1.19+2.5.1.54+2.7.1.71+4.2.1.10+4.2.3.4+4.2.3.5	8	7	18	0.10
PWY-5486	"Pyruvate-Ethanol-Fermentation;"	"pyruvate fermentation to ethanol II;"	1.1.1.1	2	1	9	0.05
TOLUENE-DEG-3-OH-PWY	"TOLUENE-DEG;"	"toluene degradation to 2-hydroxypentadienoate (<I>via 4-methylcatechol</i>);"	1.14.13.-	2	1	5	0.03
PWY-5027	"Phylloquinone-Biosynthesis; Vitamin-Biosynthesis;"	"phylloquinol biosynthesis;"	2.5.1.-	1	1	6	0.03
PWY0-1297	"NUCLEO-DEG; Super-Pathways;"	"superpathway of purine deoxyribonucleosides degradation;"	1.2.1.10+4.1.2.4+5.4.2.7	3	3	6	0.03
PWY0-1479	"Nucleic-Acid-Processing;"	"tRNA processing;"	2.7.7.56+3.1.13.1+3.1.13.5+3.1.26.12	5	4	17	0.09
PWY0-781	"Super-Pathways;"	"aspartate superpathway;"	1.1.1.3+1.2.1.11+1.4.3.16+2.1.1.13+2.1.1.14+2.3.1.117+2.3.1.46+2.5.1.6+2.6.1.1+2.7.1.39+2.7.2.4+2.7.7.18+3.5.1.18+4.1.1.20+4.2.3.1+5.1.1.7+6.3.1.5+6.3.5.1	25	18	59	0.32
ALACAT2-PWY	"ALANINE-DEG;"	"L-alanine degradation II (to D-lactate);"	1.1.1.28+2.6.1.2	3	2	5	0.03
TRPSYN-PWY	"TRYPTOPHAN-BIOSYNTHESIS;"	"L-tryptophan biosynthesis;"	2.4.2.18+4.1.1.48+4.1.3.27+4.2.1.20+5.3.1.24	5	5	19	0.10
PWY-6121	"AIR-Biosynthesis;"	"5-aminoimidazole ribonucleotide biosynthesis I;"	2.1.2.2+2.4.2.14+6.3.3.1+6.3.4.13+6.3.5.3	5	5	23	0.13
ECASYN-PWY	"Lipopolysaccharide-Biosynthesis; Super-Pathways;"	"enterobacterial common antigen biosynthesis;"	1.1.1.-+2.3.1.-+2.4.1.-+2.6.1.-+4.2.1.46	7	5	42	0.23
PWY490-4	"ASPARAGINE-SYN; Aminoacyl-tRNAs-Charging;"	"L-asparagine biosynthesis III (tRNA-dependent);"	6.3.5.-	2	1	4	0.02
PWY-5379	"CYCLITOLS-DEG; SUGAR-DERIVS;"	"B series fagopyritols biosynthesis;"	2.4.1.-	1	1	12	0.07
PWY-5695	"Purine-Degradation;"	"inosine 5'-phosphate degradation;"	1.1.1.205+2.4.2.1+3.1.3.5	4	3	15	0.08
TOLSULFDEG-PWY	"4-Toluenesulfonate-Degradation;"	"4-toluenesulfonate degradation I;"	1.1.1.-+1.2.1.-	4	2	17	0.09
PHOSLIPSYN2-PWY	"Phospholipid-Biosynthesis; Super-Pathways;"	"superpathway of phospholipid biosynthesis II (plants);"	1.1.1.94+2.7.7.-+2.7.7.41+2.7.8.-+2.7.8.5+2.7.8.8+3.1.3.27+4.1.1.65	21	8	89	0.49
PWY-5123	"All-Trans-Farnesyl-PP-Biosynthesis;"	"<i>trans, trans</i>-farnesyl diphosphate biosynthesis;"	2.5.1.10+5.3.3.2	3	2	2	0.01
PWY-5482	"Pyruvate-Acetate-Fermentation;"	"pyruvate fermentation to acetate II;"	1.2.1.-+2.3.1.8+2.7.2.1	3	3	10	0.05
PWYQT-4473	"GLUCOSINOLATE-SYN;"	"glucosinolate biosynthesis from tetrahomomethionine;"	1.14.13.-+2.6.1.-	4	2	8	0.04
PWY-5313	"ANTHOCYANIN-SYN; Super-Pathways;"	"superpathway of anthocyanin biosynthesis (from cyanidin and cyanidin 3-<i>O</i>-glucoside);"	2.3.1.-+2.4.1.-	4	2	25	0.14
PWY-6059	"Dimethylsulfide-Degradation;"	"dimethyl sulfide degradation II (oxidation);"	1.14.13.-	2	1	5	0.03
PWY-6516	"Sugar-Derivatives; Super-Pathways;"	"superpathway of microbial D-galacturonate and D-glucuronate degradation;"	1.1.1.-+1.1.1.127+1.1.1.57+1.1.1.58+1.1.1.60+1.2.1.26+2.7.1.45+4.1.2.14+4.1.2.20+4.2.1.40+4.2.1.42+4.2.1.7+4.2.1.8+5.3.1.17	19	14	32	0.18
PWY-5319	"COUMARIN-SYN; PHENYLPROPANOID-DERIVATIVE-DEG;"	"coumarin metabolism (to melilotic acid);"	1.3.-.-	2	1	8	0.04
PWY-4261	"Fatty-Acid-and-Lipid-Degradation; GLYCEROL-DEG;"	"glycerol degradation I;"	1.1.5.3+2.7.1.30	2	2	7	0.04
PWY-5821	"ISOFLAVONOID-SYN;"	"dalcochinin biosynthesis;"	3.2.1.-	1	1	4	0.02
P1-PWY	""	""	2.1.1.45+2.4.2.1+2.4.2.7+2.4.2.8+2.4.2.9+2.7.1.-+2.7.1.21+2.7.4.3+2.7.4.9	15	9	29	0.16
PWY-5760	"Beta-Alanine-Biosynthesis;"	"&beta;-alanine biosynthesis IV;"	1.2.1.3	2	1	1	0.01
PWY-862	"Glycan-Pathways; POLYSACCHARIDES-DEG;"	"fructan degradation;"	3.2.1.-	2	1	4	0.02
PWY-5653	"NAD-SYN;"	"NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde;"	2.7.7.18+6.3.5.1	3	2	4	0.02
PWY-5097	"LYSINE-SYN;"	"L-lysine biosynthesis VI;"	1.2.1.11+2.7.2.4+4.1.1.20+5.1.1.7	7	4	9	0.05
PWY-6395	"Other-Amino-Acid-Biosynthesis; Seleno-Amino-Acid-Detoxification; Super-Pathways;"	"superpathway of seleno-compound metabolism;"	2.1.1.-	1	1	26	0.14
CALVIN-PWY	"Autotrophic-CO2-Fixation; CARBO-BIOSYNTHESIS; Photosynthesis;"	"Calvin-Benson-Bassham cycle;"	2.7.2.3+3.1.3.11+4.1.2.-+4.1.2.13+5.1.3.1+5.3.1.1+5.3.1.6	12	7	14	0.08
P441-PWY	"CARBOXYLATES-DEG; Super-Pathways;"	"superpathway of <i>N</i>-acetylneuraminate degradation;"	1.1.1.1+1.2.1.10+1.2.1.12+2.3.1.54+2.3.1.8+2.7.1.11+2.7.1.40+2.7.2.1+2.7.2.3+2.7.9.2+3.1.3.11+3.5.1.25+4.1.2.13+4.2.1.11+5.3.1.1	20	15	46	0.25
PWY-3462	"PHENYLALANINE-SYN;"	"L-phenylalanine biosynthesis II;"	4.2.1.91+5.4.99.5	3	2	6	0.03
PROPFERM-PWY	"Acetate-Formation; Fermentation-to-propanoate; Super-Pathways;"	"L-alanine fermentation to propanoate and acetate;"	1.1.1.28+2.3.1.8+2.6.1.2+2.7.2.1+2.8.3.-	10	5	14	0.08
PWY-6303	"Auxin-Biosynthesis; Interconversion;"	"methyl indole-3-acetate interconversion;"	2.1.1.-	2	1	26	0.14
PWY-6536	"4-Aminobutyraye-Degradation;"	"4-aminobutanoate degradation III;"	1.2.1.16	2	1	2	0.01
LIPA-CORESYN-PWY	"Glycan-Biosynthesis; Lipid-Biosynthesis;"	"lipid A-core biosynthesis (<i>E. coli</i> K-12);"	2.-.-.-+2.4.-.-+2.4.1.58+2.7.1.-	5	4	23	0.13
P3-PWY	"GALLATE-DEG;"	"gallate degradation III (anaerobic);"	2.3.1.-+2.3.1.8+2.7.2.1+2.8.3.-+2.8.3.8+4.1.1.59	12	6	26	0.14
PWY-2961	"SESQUITERPENOID-SYN; TERPENOID-PHYTOALEXINS;"	"sesquiterpenoid phytoalexins biosynthesis;"	1.14.-.-	2	1	3	0.02
PWY-6457	"AROMATIC-COMPOUNDS-BIOSYN; CINNAMATE-SYN;"	"cinnamoyl-CoA biosynthesis;"	6.2.1.-	2	1	1	0.01
PWY0-1321	"ANAEROBIC-RESPIRATION; Electron-Transfer; Nitrate-Reduction;"	"nitrate reduction III (dissimilatory);"	1.7.5.1	2	1	11	0.06
PWY-5976	"CYANOGENIC-GLUCOSIDE-DEG;"	"dhurrin degradation;"	3.2.1.-	2	1	4	0.02
PWY-6418	"PHYTOALEXIN-SYN; POLYKETIDE-SYN;"	"4-hydroxycoumarin and dicoumarol biosynthesis;"	2.3.1.-	1	1	13	0.07
PWY-6263	"Menaquinone-Biosynthesis; Super-Pathways;"	"superpathway of menaquinol-8 biosynthesis II;"	2.1.1.163+2.5.1.-	3	2	10	0.05
PWY-5890	"Menaquinone-Biosynthesis;"	"menaquinol-10 biosynthesis;"	2.1.1.163+2.5.1.74	2	2	5	0.03
PWY-5852	"Demethylmenaquinol-8-Biosynthesis;"	"demethylmenaquinol-8 biosynthesis I;"	2.5.1.74	1	1	1	0.01
PWY-6385	"Peptidoglycan-Biosynthesis; Super-Pathways;"	"peptidoglycan biosynthesis III (mycobacteria);"	2.4.1.129+2.4.1.227+2.5.1.7+2.7.8.-+5.1.1.3+6.3.2.10+6.3.2.13+6.3.2.4+6.3.2.8+6.3.2.9	11	10	56	0.31
PWY-5082	"METHIONINE-DEG;"	"L-methionine degradation III;"	1.1.1.1	1	1	9	0.05
PWY-5441	"Methionine-Salvage;"	"S-methyl-L-methionine cycle;"	2.1.1.10	2	1	2	0.01
METSYN-PWY	"Methionine-De-novo-Biosynthesis; Super-Pathways;"	"superpathway of L-homoserine and L-methionine biosynthesis;"	1.1.1.3+1.2.1.11+2.1.1.13+2.1.1.14+2.3.1.46+2.7.2.4	8	6	20	0.11
P105-PWY	"TCA-VARIANTS;"	"TCA cycle IV (2-oxoglutarate decarboxylase);"	1.1.1.42+1.2.1.-+2.3.3.1+4.2.1.2+4.2.1.3	10	5	20	0.11
PHOSLIPSYN-PWY	"Phospholipid-Biosynthesis; Super-Pathways;"	"superpathway of phospholipid biosynthesis I (bacteria);"	1.1.1.94+2.7.7.41+2.7.8.-+2.7.8.5+2.7.8.8+3.1.3.27+4.1.1.65	9	7	20	0.11
PWY-4041	"Reductants; Super-Pathways;"	"&gamma;-glutamyl cycle;"	3.4.11.2+3.5.2.9+6.3.2.2+6.3.2.3	6	4	18	0.10
FLUORENE-DEG-9-ONE-PWY	"Fluorene-Degradation;"	"fluorene degradation I;"	1.14.-.-	2	1	3	0.02
PWY-5676	"Acetyl-CoA-Butyrate; Super-Pathways;"	"acetyl-CoA fermentation to butanoate II;"	1.1.1.36+2.3.1.8+2.3.1.9+2.7.2.1+2.8.3.8	7	5	10	0.05
PWY-5479	"LIGNAN-SYN;"	"6-methoxypodophyllotoxin biosynthesis;"	1.-.-.-+1.14.-.-+1.14.13.-+2.1.1.-	4	4	64	0.35
PWY-6295	""	""	2.3.1.-	1	1	13	0.07
CYSTSYN-PWY	"CYSTEINE-SYN;"	"L-cysteine biosynthesis I;"	2.3.1.30+2.5.1.47	2	2	5	0.03
HEME-BIOSYNTHESIS-II	"Heme-b-Biosynthesis;"	"heme <i>b</i> biosynthesis I (aerobic);"	1.3.3.3+4.1.1.37+4.99.1.1	4	3	7	0.04
PWY-5892	"Menaquinone-Biosynthesis;"	"menaquinol-12 biosynthesis;"	2.1.1.163+2.5.1.74	2	2	5	0.03
PWY-1381	"Fluorene-Degradation;"	"fluorene degradation II;"	1.14.-.-	1	1	3	0.02
PWY-2201	"Folate-Transformations;"	"folate transformations I;"	1.5.1.20+1.5.1.5+2.1.1.13+2.1.2.1+3.5.1.10+3.5.4.9+6.3.3.2+6.3.4.3	11	8	23	0.13
PWY-5057	"VALINE-DEG;"	"L-valine degradation II;"	1.1.1.1+2.6.1.42	3	2	12	0.07
PWY-66	"GDP-Sugar-Biosynthesis;"	"GDP-L-fucose biosynthesis I (from GDP-D-mannose);"	1.1.1.271	2	1	1	0.01
